Entity,Code,Year,Size of total peacekeeping force
World,OWID_WRL,1947,30
World,OWID_WRL,1948,600
World,OWID_WRL,1949,700
World,OWID_WRL,1950,700
World,OWID_WRL,1951,700
World,OWID_WRL,1952,700
World,OWID_WRL,1953,700
World,OWID_WRL,1954,700
World,OWID_WRL,1955,700
World,OWID_WRL,1956,700
World,OWID_WRL,1957,6800
World,OWID_WRL,1958,7200
World,OWID_WRL,1959,6800
World,OWID_WRL,1960,26200
World,OWID_WRL,1961,22500
World,OWID_WRL,1962,26500
World,OWID_WRL,1963,12600
World,OWID_WRL,1964,13000
World,OWID_WRL,1965,13000
World,OWID_WRL,1966,13000
World,OWID_WRL,1967,13000
World,OWID_WRL,1968,6900
World,OWID_WRL,1969,7200
World,OWID_WRL,1970,7200
World,OWID_WRL,1971,7200
World,OWID_WRL,1972,7200
World,OWID_WRL,1973,9800
World,OWID_WRL,1974,11100
World,OWID_WRL,1975,11300
World,OWID_WRL,1976,11500
World,OWID_WRL,1977,11500
World,OWID_WRL,1978,16700
World,OWID_WRL,1979,13300
World,OWID_WRL,1980,13000
World,OWID_WRL,1981,12500
World,OWID_WRL,1982,12500
World,OWID_WRL,1983,12500
World,OWID_WRL,1984,12500
World,OWID_WRL,1985,12500
World,OWID_WRL,1986,12500
World,OWID_WRL,1987,12500
World,OWID_WRL,1988,13000
World,OWID_WRL,1989,17900
World,OWID_WRL,1990,13700
World,OWID_WRL,1991,15300
World,OWID_WRL,1992,52154
World,OWID_WRL,1993,69961
World,OWID_WRL,1994,69356
World,OWID_WRL,1995,31031
World,OWID_WRL,1996,24919
World,OWID_WRL,1997,14879
World,OWID_WRL,1998,14347
World,OWID_WRL,1999,18460
World,OWID_WRL,2000,37733
World,OWID_WRL,2001,47108
World,OWID_WRL,2002,39652
World,OWID_WRL,2003,45815
World,OWID_WRL,2004,64720
World,OWID_WRL,2005,69838
World,OWID_WRL,2006,80368
World,OWID_WRL,2007,84309
World,OWID_WRL,2008,91712
World,OWID_WRL,2009,98197
World,OWID_WRL,2010,98627
World,OWID_WRL,2011,99016
World,OWID_WRL,2012,94090
World,OWID_WRL,2013,98200
World,OWID_WRL,2014,104062